               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,             0.02563,            0.011454,                   0,             0.99401,             0.85185,             0.93589,             0.57024,            0.039553,            0.010482,                   0,            0.008614,            0.008614,            0.008614
                  72,            0.027829,            0.010878,                   0,                   1,               0.847,             0.93902,             0.61837,            0.037763,            0.011225,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,            0.025969,             0.01095,                   0,             0.94405,             0.81481,             0.94966,             0.60246,            0.038998,            0.012144,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,            0.026049,            0.012158,                   0,                   1,             0.80778,             0.93584,             0.60829,            0.037381,            0.012008,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,            0.027159,            0.013094,                   0,             0.95048,             0.81481,             0.95133,              0.6228,            0.036505,            0.012723,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,            0.026941,            0.010568,                   0,             0.95814,             0.84787,             0.95848,             0.60136,            0.036653,            0.013028,                   0,            0.008515,            0.008515,            0.008515
                  77,             0.02633,            0.012946,                   0,             0.95831,             0.85138,             0.96128,             0.59413,            0.037403,            0.011857,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,            0.026585,            0.011644,                   0,             0.96103,             0.91368,             0.96729,             0.62006,            0.038247,            0.011419,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,            0.025776,            0.012555,                   0,              0.9597,             0.88212,             0.95488,             0.62064,            0.037075,            0.011562,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,              0.0242,            0.012179,                   0,             0.91895,             0.92593,             0.95655,             0.60526,            0.037718,            0.011606,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,            0.024201,            0.010625,                   0,              0.9132,             0.92593,             0.95811,              0.6006,            0.037911,            0.012337,                   0,            0.008416,            0.008416,            0.008416
                  82,             0.02783,            0.012408,                   0,              0.9251,             0.91515,             0.95233,             0.60042,            0.036937,            0.012823,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,            0.023807,             0.01151,                   0,             0.91744,             0.88889,             0.94542,             0.60346,            0.035565,             0.01334,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,            0.025057,           0.0098782,                   0,             0.92502,             0.91414,             0.94907,             0.61442,            0.037017,            0.013139,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,            0.024908,            0.011374,                   0,                   1,              0.8483,             0.95101,             0.64266,            0.036424,            0.011986,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,            0.026133,             0.01132,                   0,                   1,             0.87415,             0.96888,             0.62135,            0.038094,            0.012018,                   0,            0.008317,            0.008317,            0.008317
                  87,            0.024881,             0.01076,                   0,             0.92393,             0.88889,             0.96064,             0.62198,            0.038382,            0.011649,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,            0.024535,            0.011333,                   0,             0.96243,             0.94922,             0.96346,             0.62251,            0.038951,            0.010676,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,            0.023944,           0.0093968,                   0,             0.96147,             0.92439,             0.98475,             0.62517,            0.037459,            0.010445,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,            0.024724,            0.010747,                   0,             0.96134,             0.92125,             0.98328,             0.59949,            0.037411,           0.0098224,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,            0.024282,             0.01177,                   0,             0.91702,             0.85185,              0.9524,              0.6404,            0.037139,            0.010213,                   0,            0.008218,            0.008218,            0.008218
                  92,            0.024132,           0.0096279,                   0,              0.9521,             0.88889,             0.97424,             0.61201,            0.038251,            0.010632,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,            0.023252,            0.010669,                   0,             0.96102,             0.91348,             0.97185,               0.609,            0.038178,            0.011176,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,            0.023809,             0.01043,                   0,             0.95003,             0.92593,             0.95889,             0.58656,             0.03948,             0.01137,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,            0.020968,            0.009855,                   0,             0.96097,             0.91218,             0.94909,             0.59802,            0.040146,            0.011748,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,            0.024701,           0.0091066,                   0,             0.94279,             0.88889,             0.95466,             0.57769,            0.041807,            0.012017,                   0,            0.008119,            0.008119,            0.008119
                  97,            0.021788,            0.010047,                   0,             0.98312,             0.81481,             0.94827,             0.61263,             0.03901,            0.012083,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,            0.023265,            0.010213,                   0,                   1,             0.81137,              0.9522,             0.59728,            0.039384,             0.01308,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,            0.024323,            0.010455,                   0,                   1,             0.81041,             0.94936,             0.59242,            0.039301,            0.013182,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,            0.022631,            0.009709,                   0,             0.99507,             0.81481,             0.94851,             0.59305,            0.038617,            0.013173,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,            0.027516,            0.011657,                   0,             0.99184,             0.81481,             0.94847,             0.54872,             0.03915,            0.013241,                   0,             0.00802,             0.00802,             0.00802
                 102,            0.022245,            0.011832,                   0,             0.99475,             0.81481,             0.92525,             0.54021,            0.041449,            0.012493,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,            0.023816,            0.010164,                   0,             0.99346,             0.81481,             0.91104,             0.56387,            0.041827,            0.011879,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,            0.024631,            0.011536,                   0,              0.9947,             0.81481,             0.96368,             0.61707,            0.039113,            0.011069,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,            0.023818,           0.0099624,                   0,             0.94701,             0.88889,             0.97403,             0.60399,             0.03807,            0.010662,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,            0.021352,            0.010446,                   0,             0.94857,             0.88889,             0.96414,             0.61258,            0.038717,            0.010903,                   0,            0.007921,            0.007921,            0.007921
                 107,            0.022448,            0.010224,                   0,             0.98507,             0.88889,             0.95439,             0.59986,            0.038498,            0.010491,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,            0.023113,            0.011884,                   0,             0.95878,              0.8617,             0.95494,             0.61906,            0.039226,            0.011176,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,            0.022441,            0.010667,                   0,             0.92134,             0.81481,             0.94248,             0.59623,            0.041258,            0.012759,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,             0.02388,           0.0096612,                   0,             0.95763,             0.83742,             0.91229,             0.59832,            0.039955,            0.013644,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,            0.023028,            0.010372,                   0,             0.95795,             0.84403,             0.90835,             0.59252,            0.040492,            0.014477,                   0,            0.007822,            0.007822,            0.007822
                 112,            0.022937,             0.01045,                   0,             0.94368,             0.85185,             0.91944,             0.62042,            0.038704,            0.013825,                   0,           0.0078022,           0.0078022,           0.0078022
                 113,            0.023041,            0.010747,                   0,             0.95919,             0.87093,             0.94837,             0.63592,            0.038731,             0.01257,                   0,           0.0077824,           0.0077824,           0.0077824
                 114,            0.024319,            0.010478,                   0,             0.96042,             0.89889,             0.94785,             0.62573,            0.038945,            0.012633,                   0,           0.0077626,           0.0077626,           0.0077626
                 115,            0.024071,            0.010503,                   0,             0.92591,             0.81481,             0.94021,             0.62007,            0.039772,            0.013173,                   0,           0.0077428,           0.0077428,           0.0077428
                 116,            0.022928,           0.0091442,                   0,             0.92055,             0.88889,             0.95266,              0.6253,            0.038851,            0.012974,                   0,            0.007723,            0.007723,            0.007723
                 117,            0.023229,            0.011044,                   0,             0.92142,             0.86899,             0.96017,             0.61636,            0.038267,            0.012419,                   0,           0.0077032,           0.0077032,           0.0077032
                 118,            0.021978,            0.011337,                   0,                   1,             0.80917,             0.96028,             0.62597,            0.038188,            0.012303,                   0,           0.0076834,           0.0076834,           0.0076834
                 119,            0.021264,            0.010242,                   0,                   1,             0.80867,             0.95164,             0.61468,             0.03961,            0.012409,                   0,           0.0076636,           0.0076636,           0.0076636
                 120,            0.020695,           0.0099636,                   0,             0.95684,             0.82131,             0.95429,             0.60047,            0.040255,            0.012949,                   0,           0.0076438,           0.0076438,           0.0076438
                 121,              0.0218,           0.0095408,                   0,                   1,             0.84452,              0.9526,             0.63302,              0.0391,            0.012801,                   0,            0.007624,            0.007624,            0.007624
                 122,             0.02016,            0.010229,                   0,             0.95736,             0.88889,             0.95933,             0.62998,            0.038844,            0.012572,                   0,           0.0076042,           0.0076042,           0.0076042
                 123,              0.0222,           0.0093973,                   0,             0.95418,             0.88889,             0.96149,             0.62438,            0.038249,            0.012096,                   0,           0.0075844,           0.0075844,           0.0075844
                 124,            0.023389,           0.0097957,                   0,             0.92471,             0.91007,             0.96243,             0.62499,            0.037046,            0.011783,                   0,           0.0075646,           0.0075646,           0.0075646
                 125,             0.02307,            0.010321,                   0,             0.94216,             0.88889,             0.95408,             0.62422,            0.036948,            0.011887,                   0,           0.0075448,           0.0075448,           0.0075448
                 126,            0.020355,            0.010293,                   0,             0.94764,             0.88889,             0.95465,             0.62402,            0.036722,            0.012528,                   0,            0.007525,            0.007525,            0.007525
                 127,             0.02143,           0.0095349,                   0,             0.95825,             0.85024,             0.96041,             0.62296,            0.036241,             0.01213,                   0,           0.0075052,           0.0075052,           0.0075052
                 128,            0.021278,            0.010331,                   0,             0.95805,             0.84615,             0.93977,             0.64137,            0.036416,            0.012285,                   0,           0.0074854,           0.0074854,           0.0074854
                 129,            0.020557,            0.010123,                   0,             0.92247,             0.88164,             0.94408,             0.63345,            0.037421,            0.012047,                   0,           0.0074656,           0.0074656,           0.0074656
